date,ticker,gappctpoly,rsi14m,relvolpoly,gap_pct,change_open_pct,rvol
2024-09-03,AAPL,-0.196507,29.11126,1.006778,,,
2024-09-03,AMD,-1.447227,28.880227,0.807972,,,
2024-09-03,NVDA,-2.814778,34.001865,1.295932,,,
2024-09-03,TSLA,0.537107,42.514456,0.932712,,,
2024-09-04,AAPL,-0.498272,36.193012,0.87712,,,
2024-09-04,AMD,2.60333,52.554239,0.801953,,,
2024-09-04,NVDA,-2.398148,56.610801,0.993749,,,
2024-09-04,TSLA,-0.004748,84.903749,0.993174,,,
2024-09-05,AAPL,0.350917,59.71223,0.745075,,,
2024-09-05,AMD,-1.895365,72.630814,0.483733,,,
2024-09-05,NVDA,-1.153375,79.970259,0.820203,,,
2024-09-05,TSLA,1.859532,71.681148,1.49969,,,
2024-09-06,AAPL,0.705999,55.525847,0.987332,,,
2024-09-06,AMD,-0.530694,27.426007,0.783528,,,
2024-09-06,NVDA,0.774182,23.4105,1.110235,,,
2024-09-06,TSLA,1.055741,16.447451,1.402718,,,
2024-09-09,AAPL,0.0,27.973568,1.346375,,,
2024-09-09,AMD,1.302568,69.250809,0.54063,,,
2024-09-09,NVDA,1.993582,57.751623,0.736484,,,
2024-09-09,TSLA,2.595739,75.734418,0.853005,,,
2024-09-10,AAPL,-0.900819,19.91438,1.023505,,,
2024-09-10,AMD,0.658704,35.57711,0.744939,,,
2024-09-10,NVDA,1.25857,43.214717,0.720052,,,
2024-09-10,TSLA,1.757063,51.60536,1.019413,,,
2024-09-11,AAPL,0.611058,51.319418,0.882836,,,
2024-09-11,AMD,1.739709,41.678402,1.031812,,,
2024-09-11,NVDA,1.19334,73.958582,1.189575,,,
2024-09-11,TSLA,-0.716275,43.365591,1.087565,,,
2024-09-12,AAPL,-0.071858,41.348574,0.748671,,,
2024-09-12,AMD,-0.954224,56.572594,0.629391,,,
2024-09-12,NVDA,-0.059875,71.850821,0.998804,,,
2024-09-12,TSLA,-1.521063,79.677229,0.93566,,,
2024-09-13,AAPL,0.363604,45.282663,0.746855,,,
2024-09-13,AMD,1.028056,46.801124,0.568129,,,
2024-09-13,NVDA,-0.050361,53.093543,0.665737,,,
2024-09-13,TSLA,-0.787607,82.330183,0.781439,,,
2024-09-16,AAPL,-2.678652,36.462754,1.244698,,,
2024-09-16,AMD,-0.400499,47.809638,0.651022,,,
2024-09-16,NVDA,-1.939547,48.758714,0.710248,,,
2024-09-16,TSLA,-0.429893,36.74274,0.722294,,,
2024-09-17,AAPL,-0.263499,56.239134,1.006606,,,
2024-09-17,AMD,0.966597,30.528709,0.729457,,,
2024-09-17,NVDA,1.190272,22.744361,0.68301,,,
2024-09-17,TSLA,1.177353,53.31586,0.901079,,,
2024-09-18,AAPL,0.35057,58.928571,1.334109,,,
2024-09-18,AMD,0.053043,29.617573,0.662922,,,
2024-09-18,NVDA,0.259538,34.099173,0.922815,,,
2024-09-18,TSLA,0.97424,24.346792,1.050902,,,
2024-09-19,AAPL,1.948434,81.770302,1.483901,,,
2024-09-19,AMD,3.722436,48.263659,1.130477,,,
2024-09-19,NVDA,3.510629,59.291941,0.883142,,,
2024-09-19,TSLA,2.992958,68.376027,1.364117,,,
2024-09-20,AAPL,0.480622,41.726218,5.895526,,,
2024-09-20,AMD,-0.472119,46.540369,1.030132,,,
2024-09-20,NVDA,-0.687198,58.545478,1.151897,,,
2024-09-20,TSLA,-0.983929,47.166318,1.30656,,,
2024-09-23,AAPL,-0.376862,56.0,0.994369,,,
2024-09-23,AMD,0.317409,50.363073,0.565223,,,
2024-09-23,NVDA,0.474138,43.823774,0.626439,,,
2024-09-23,TSLA,1.83001,80.665496,1.12328,,,
2024-09-24,AAPL,0.960392,19.672131,0.797191,,,
2024-09-24,AMD,0.452951,53.333333,0.723819,,,
2024-09-24,NVDA,0.219336,50.342904,1.075044,,,
2024-09-24,TSLA,1.632,62.107516,1.131572,,,
2024-09-25,AAPL,-1.073141,56.300403,0.775234,,,
2024-09-25,AMD,0.113694,57.212654,0.932018,,,
2024-09-25,NVDA,0.951435,63.373002,0.864655,,,
2024-09-25,TSLA,-0.680379,46.945987,0.835615,,,
2024-09-26,AAPL,0.410832,33.746194,0.673495,,,
2024-09-26,AMD,3.107641,60.459032,1.004147,,,
2024-09-26,NVDA,2.663752,62.46116,0.922413,,,
2024-09-26,TSLA,1.392888,40.135287,0.863849,,,
2024-09-27,AAPL,0.41315,26.46123,0.630286,,,
2024-09-27,AMD,-0.005971,68.712694,0.746062,,,
2024-09-27,NVDA,-0.056433,43.438244,0.830133,,,
2024-09-27,TSLA,1.241051,35.198883,0.920778,,,
2024-09-30,AAPL,0.987752,56.92733,1.008466,,,
