date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2023-11-13,NVDA,0.8048,0.8048,41.693667,0.687625
2023-11-13,TSLA,1.304449,1.304449,34.52241,0.987567
2023-11-14,AAPL,0.25974,0.25974,58.634878,0.647591
2023-11-14,AMD,0.205497,0.205497,53.600586,0.836049
2023-11-14,NVDA,0.682847,0.682847,55.874314,0.735936
2023-11-14,TSLA,1.743328,1.743328,60.316945,1.025596
2023-11-15,AAPL,0.490824,0.490824,41.918787,0.588183
2023-11-15,AMD,1.267935,1.267935,51.332178,0.838261
2023-11-15,NVDA,0.960609,0.960609,38.010606,0.894451
2023-11-15,TSLA,2.228213,2.228213,53.385153,1.068109
2023-11-16,AAPL,0.228711,0.228711,56.861916,0.705022
2023-11-16,AMD,-0.847458,-0.847458,37.111792,0.664309
2023-11-16,NVDA,-0.895925,-0.895925,55.922427,0.582931
2023-11-16,TSLA,-1.707668,-1.707668,42.611815,0.939538
2023-11-17,AAPL,0.279374,0.279374,58.752347,0.568273
2023-11-17,AMD,0.267045,0.267045,43.471114,0.535893
2023-11-17,NVDA,0.319321,0.319321,47.50047,0.563304
2023-11-17,TSLA,0.346761,0.346761,60.610317,1.008984
2023-11-20,AAPL,0.158153,0.158153,45.640086,0.514521
2023-11-20,AMD,0.315039,0.315039,42.873106,0.586552
2023-11-20,NVDA,0.714025,0.714025,49.956774,0.715457
2023-11-20,TSLA,0.234742,0.234742,56.422866,0.788538
2023-11-21,AAPL,-0.235048,-0.235048,62.530153,0.449781
2023-11-21,AMD,-0.411421,-0.411421,52.973514,0.538195
2023-11-21,NVDA,-0.335258,-0.335258,57.465337,0.835442
2023-11-21,TSLA,0.45416,0.45416,54.558478,0.862358
2023-11-22,AAPL,0.241292,0.241292,55.322965,0.508425
2023-11-22,AMD,0.537093,0.537093,48.765026,0.866959
2023-11-22,NVDA,0.442496,0.442496,48.849451,1.665159
2023-11-22,TSLA,0.791874,0.791874,60.008816,0.827808
2023-11-24,AAPL,-0.318854,-0.318854,65.835058,0.404075
2023-11-24,AMD,-0.334667,-0.334667,51.074111,0.326954
2023-11-24,NVDA,-1.018146,-1.018146,34.865022,0.59413
2023-11-24,TSLA,-0.25618,-0.25618,31.616201,0.510804
2023-11-27,AAPL,-0.05264,-0.05264,59.430079,0.43926
2023-11-27,AMD,0.089935,0.089935,45.714602,0.455448
2023-11-27,NVDA,0.3642,0.3642,45.313103,0.67124
2023-11-27,TSLA,0.862179,0.862179,46.390111,0.78832
2023-11-28,AAPL,-0.036883,-0.036883,49.177597,0.450439
2023-11-28,AMD,-0.211985,-0.211985,48.418162,0.455686
2023-11-28,NVDA,-0.024875,-0.024875,55.685362,0.702169
2023-11-28,TSLA,0.088953,0.088953,53.830741,1.028065
2023-11-29,AAPL,0.241597,0.241597,60.035764,0.469376
2023-11-29,AMD,1.040898,1.040898,37.724124,0.533225
